ticker,visible_col,signal_col,n_obs,n_paired,ic,pval,accuracy,ls_spread,abs_ic
APYX,visible_count,contemp_regime_shift,19,19,-0.06262242910851495,0.7989679363126608,0.05263157894736842,0.07609699663208647,0.06262242910851495
MMM,visible_count,contemp_corr_historical,24,16,0.06176470588235294,0.8202418775044894,0.5625,-0.03322263213552244,0.06176470588235294
MMM,visible_count,filtered_contemp_corr,24,16,0.06176470588235294,0.8202418775044894,0.5625,-0.03322263213552244,0.06176470588235294
CAT,visible_count,leading_corr_ma,23,17,-0.06127450980392158,0.8152828502754568,0.47058823529411764,-0.042039104659696375,0.06127450980392158
XRX,visible_count,contemp_corr_historical,20,17,-0.06127450980392158,0.8152828502754568,0.47058823529411764,-0.039413285104317825,0.06127450980392158
XRX,visible_count,filtered_contemp_corr,20,17,-0.06127450980392158,0.8152828502754568,0.47058823529411764,-0.039413285104317825,0.06127450980392158
MTW,visible_count,contemp_corr_momentum,31,26,0.06119658119658119,0.7664861253612906,0.46153846153846156,0.05641522051584569,0.06119658119658119
ZBH,visible_count,consensus_revenue_corr_historical,26,21,0.06103896103896104,0.7926796536257745,0.5714285714285714,0.0020711718646885657,0.06103896103896104
ENOV,visible_count,ucc_to_surprise_beta,18,13,0.06043956043956044,0.8445023706449681,0.46153846153846156,0.005893273463593777,0.06043956043956044
MASI,visible_count,predicted_surprise_magnitude_v2,20,13,-0.06043956043956044,0.8445023706449681,0.38461538461538464,-0.09118102629775234,0.06043956043956044
JNJ,visible_count,leading_corr_momentum,26,22,0.06019404264664156,0.7901655531382482,0.5,0.009450132245855798,0.06019404264664156
MDT,visible_count,filtered_contemp_corr,26,21,-0.059740259740259746,0.7970010758753313,0.42857142857142855,-0.025116601361234444,0.059740259740259746
TXT,visible_count,predicted_surprise_magnitude_v2,33,30,-0.05946551571267885,0.7549321420193522,0.5,0.060019177342917236,0.05946551571267885
VMI,visible_count,leading_corr_momentum,31,27,-0.059218559218559216,0.7692120126573712,0.4444444444444444,-0.038695225904147076,0.059218559218559216
XRAY,visible_count,ucc_surprise_corr_historical,19,16,-0.0589973068344131,0.828181647422094,0.5,-0.06771147611631494,0.0589973068344131
LIN,visible_count,ucc_to_surprise_beta,20,17,-0.058823529411764705,0.8225588681711513,0.5294117647058824,0.002125608904428984,0.058823529411764705
TXT,visible_count,contemp_regime_shift,33,33,0.058554680336719414,0.7461810816308633,0.06060606060606061,0.1342594795979699,0.058554680336719414
GM,visible_count,predicted_surprise_magnitude,31,28,0.058018609742747675,0.7693267977372071,0.39285714285714285,0.006617304744485207,0.058018609742747675
IDXX,visible_count,filtered_leading_corr,24,19,0.057894736842105256,0.8138813182743415,0.42105263157894735,0.03767764036167575,0.057894736842105256
ENOV,visible_count,resid,18,18,-0.057851270539114236,0.8196370887917704,0.4444444444444444,0.015513347141788415,0.057851270539114236
PCAR,total_universe,predicted_surprise_direction,13,11,-0.05773502691896258,0.8661022007175928,0.5454545454545454,-0.00425907543515526,0.05773502691896258
ILMN,visible_count,ucc_to_surprise_beta,28,26,0.057633272235593384,0.7797441165212352,0.38461538461538464,0.042600500883430016,0.057633272235593384
NVST,visible_count,leading_corr_momentum,19,15,-0.05714285714285713,0.8396998687415759,0.6,0.02137712337495575,0.05714285714285713
WNC,visible_count,predicted_surprise_calibrated,31,22,0.05702992659514399,0.800975590344672,0.5454545454545454,-0.02300631319745779,0.05702992659514399
APYX,visible_count,ucc_to_rev_beta,19,17,0.056372549019607844,0.8298485835353617,0.6470588235294118,0.12859149196987057,0.056372549019607844
STE,visible_count,ucc_to_rev_beta,20,17,0.056372549019607844,0.8298485835353617,0.5294117647058824,0.03449183544340555,0.056372549019607844
XRAY,visible_count,predicted_surprise_calibrated,19,16,0.05604744149269246,0.8366621075245623,0.4375,-0.05389321550023158,0.05604744149269246
WNC,visible_count,leading_corr_ma,31,25,0.05538461538461539,0.7925912249870334,0.48,-0.041232498800249276,0.05538461538461539
CNMD,visible_count,leading_corr_ma,25,14,-0.054945054945054944,0.8520077036323678,0.42857142857142855,-0.045068112090185526,0.054945054945054944
JNJ,visible_count,resid,26,26,0.05488883070056514,0.7899965945632155,0.5384615384615384,0.008166137389098712,0.05488883070056514
TEX,visible_count,filtered_leading_corr,27,22,-0.05477131564088086,0.8087137074126656,0.5,-0.0409752985415464,0.05477131564088086
PCAR,total_universe,ucc_to_rev_beta,13,11,0.05454545454545456,0.873446577523315,0.45454545454545453,0.01977180360075953,0.05454545454545456
ALGN,total_universe,contemp_corr_ma,26,21,0.05454545454545454,0.814342822105269,0.5238095238095238,0.015136169756042941,0.05454545454545454
HSIC,visible_count,contemp_corr_momentum,24,21,0.05454545454545454,0.814342822105269,0.5714285714285714,0.0029836963045516487,0.05454545454545454
ABT,visible_count,contemp_corr_momentum,26,23,0.05434782608695652,0.8054580956761178,0.5217391304347826,0.021156744275723435,0.05434782608695652
ABT,visible_count,resid,26,26,0.05367521367521367,0.7945413142226204,0.5,-0.013614639824776946,0.05367521367521367
ASTE,visible_count,leading_corr_historical,29,26,0.05367521367521367,0.7945413142226204,0.46153846153846156,-0.0664426218912662,0.05367521367521367
AGCO,visible_count,contemp_corr_historical,31,28,0.053099767843641205,0.7884250194727676,0.5357142857142857,0.010645951224472625,0.053099767843641205
IR,visible_count,contemp_corr_ma,30,25,-0.05307692307692308,0.801060182912034,0.4,-0.008430096615801071,0.05307692307692308
ABBV,visible_count,leading_confidence,27,27,0.05296881505459053,0.793017422818645,0.3333333333333333,0.040222764122456345,0.05296881505459053
